,acc,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/gamma,config/params/total_games,config/params/game_x_axis,config/params/game_y_axis,config/params/game_width,config/params/game_height,config/params/cursor_y_axis,config/params/player_start_x,config/params/gate_size,config/params/gate_min_distance,config/params/gate_cushion,config/params/ngates,config/params/plot_score,config/params/target_acc,config/params/PGate,config/params/NGate,config/params/WallHit,config/params/PDir,config/params/NDir,config/params/PRange,config/params/NRange,config/params/display,config/params/speed,logdir
34,0.07250000000000001,1695434328,True,1,7b5f2_00034,2023-09-22_18-58-48,3008.0176408290863,3008.0176408290863,46395,Zacharys-MacBook-Pro.local,127.0.0.1,3008.0176408290863,1,,0.5385511960313896,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00034
35,0.125,1695434289,False,1,7b5f2_00035,2023-09-22_18-58-09,2959.672095298767,2959.672095298767,46396,Zacharys-MacBook-Pro.local,127.0.0.1,2959.672095298767,1,,0.1355834905631379,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00035
36,0.12250000000000005,1695434642,False,1,7b5f2_00036,2023-09-22_19-04-02,3283.6323521137238,3283.6323521137238,46379,Zacharys-MacBook-Pro.local,127.0.0.1,3283.6323521137238,1,,0.9725735693184488,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00036
37,0.08750000000000002,1695434224,True,1,7b5f2_00037,2023-09-22_18-57-04,2865.666576862335,2865.666576862335,46384,Zacharys-MacBook-Pro.local,127.0.0.1,2865.666576862335,1,,0.9528499556808048,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00037
38,0.10499999999999998,1695434558,True,1,7b5f2_00038,2023-09-22_19-02-38,3192.561099052429,3192.561099052429,46380,Zacharys-MacBook-Pro.local,127.0.0.1,3192.561099052429,1,,0.713612617635376,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00038
39,0.07750000000000001,1695434445,True,1,7b5f2_00039,2023-09-22_19-00-45,3060.0854709148407,3060.0854709148407,46372,Zacharys-MacBook-Pro.local,127.0.0.1,3060.0854709148407,1,,0.6175347142648333,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00039
40,0.07499999999999996,1695434503,True,1,7b5f2_00040,2023-09-22_19-01-43,3094.8067450523376,3094.8067450523376,46375,Zacharys-MacBook-Pro.local,127.0.0.1,3094.8067450523376,1,,0.8866759301922825,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00040
41,0.10250000000000004,1695434481,True,1,7b5f2_00041,2023-09-22_19-01-21,3058.8434858322144,3058.8434858322144,46388,Zacharys-MacBook-Pro.local,127.0.0.1,3058.8434858322144,1,,0.4305653300548258,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00041
42,0.10750000000000004,1695434670,True,1,7b5f2_00042,2023-09-22_19-04-30,3236.472264766693,3236.472264766693,46397,Zacharys-MacBook-Pro.local,127.0.0.1,3236.472264766693,1,,0.08435057399694035,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00042
43,0.11499999999999999,1695434652,False,1,7b5f2_00043,2023-09-22_19-04-12,3211.8957755565643,3211.8957755565643,46377,Zacharys-MacBook-Pro.local,127.0.0.1,3211.8957755565643,1,,0.8307265957557912,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00043
44,0.07750000000000001,1695434509,True,1,7b5f2_00044,2023-09-22_19-01-49,3062.1951880455017,3062.1951880455017,46389,Zacharys-MacBook-Pro.local,127.0.0.1,3062.1951880455017,1,,0.07620735042504123,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00044
45,0.09750000000000003,1695434099,True,1,7b5f2_00045,2023-09-22_18-54-59,2873.146940946579,2873.146940946579,46390,Zacharys-MacBook-Pro.local,127.0.0.1,2873.146940946579,1,,0.906654664072878,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00045
46,0.07750000000000001,1695434528,True,1,7b5f2_00046,2023-09-22_19-02-08,3045.2313849925995,3045.2313849925995,46371,Zacharys-MacBook-Pro.local,127.0.0.1,3045.2313849925995,1,,0.8477451460764868,100,180,270,180,270,270,200,18,5,1,4,True,1.101,10,-10,-10,0.1,-0.1,0.2,-0.2,False,0,7b5f2_00046
